Unemployment_Rate_-_Trailing_30_days : Total
Region, Date, Frequency, Value
India, 01-06-2019, D, 7.13
India, 02-06-2019, D, 7.11
India, 03-06-2019, D, 7.13
India, 04-06-2019, D, 7.17
India, 05-06-2019, D, 7.32
India, 06-06-2019, D, 7.45
India, 07-06-2019, D, 7.60
India, 08-06-2019, D, 7.64
India, 09-06-2019, D, 7.70
India, 10-06-2019, D, 7.77
India, 11-06-2019, D, 7.84
India, 12-06-2019, D, 7.87
India, 13-06-2019, D, 7.94
India, 14-06-2019, D, 8.11
India, 15-06-2019, D, 8.09
India, 16-06-2019, D, 8.16
India, 17-06-2019, D, 8.14
India, 18-06-2019, D, 8.22
India, 19-06-2019, D, 8.30
India, 20-06-2019, D, 8.23
India, 21-06-2019, D, 8.23
India, 22-06-2019, D, 8.08
India, 23-06-2019, D, 8.01
India, 24-06-2019, D, 8.07
India, 25-06-2019, D, 8.01
India, 26-06-2019, D, 8.04
India, 27-06-2019, D, 8.00
India, 28-06-2019, D, 7.89
India, 29-06-2019, D, 7.87
India, 30-06-2019, D, 7.83
India, 01-07-2019, D, 7.83
India, 02-07-2019, D, 7.79
India, 03-07-2019, D, 7.83
India, 04-07-2019, D, 7.87
India, 05-07-2019, D, 7.80
India, 06-07-2019, D, 7.77
India, 07-07-2019, D, 7.71
India, 08-07-2019, D, 7.68
India, 09-07-2019, D, 7.56
India, 10-07-2019, D, 7.50
India, 11-07-2019, D, 7.38
India, 12-07-2019, D, 7.32
India, 13-07-2019, D, 7.34
India, 14-07-2019, D, 7.21
India, 15-07-2019, D, 7.21
India, 16-07-2019, D, 7.25
India, 17-07-2019, D, 7.31
India, 18-07-2019, D, 7.24
India, 19-07-2019, D, 7.27
India, 20-07-2019, D, 7.30
India, 21-07-2019, D, 7.30
India, 22-07-2019, D, 7.42
India, 23-07-2019, D, 7.52
India, 24-07-2019, D, 7.62
India, 25-07-2019, D, 7.57
India, 26-07-2019, D, 7.49
India, 27-07-2019, D, 7.53
India, 28-07-2019, D, 7.59
India, 29-07-2019, D, 7.54
India, 30-07-2019, D, 7.62
India, 31-07-2019, D, 7.58
India, 01-08-2019, D, 7.67
India, 02-08-2019, D, 7.62
India, 03-08-2019, D, 7.69
India, 04-08-2019, D, 7.70
India, 05-08-2019, D, 7.70
India, 06-08-2019, D, 7.71
India, 07-08-2019, D, 7.63
India, 08-08-2019, D, 7.67
